행정동코드,시도명,시군구명,읍면동명,법정동코드,동리명,생성일자,말소일자
1100000000,서울특별시,,,1100000000,서울특별시,19880423,
1111051500,서울특별시,종로구,청운효자동,1111010100,청운동,20081101,
1111053000,서울특별시,종로구,사직동,1111010600,통의동,19880423,
1111054000,서울특별시,종로구,삼청동,1111013900,팔판동,19880423,
1111055000,서울특별시,종로구,부암동,1111018400,부암동,19880423,
1111056000,서울특별시,종로구,평창동,1111018200,구기동,19880423,
1111057000,서울특별시,종로구,무악동,1111018700,무악동,19880423,
1111058000,서울특별시,종로구,교남동,1111017600,교남동,19880423,
1111060000,서울특별시,종로구,가회동,1111014600,가회동,19880423,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111011900,세종로,20110501,
1111063000,서울특별시,종로구,종로5.6가동,1111016000,연지동,19880423,
1111064000,서울특별시,종로구,이화동,1111016500,이화동,19880423,
1111065000,서울특별시,종로구,혜화동,1111013000,와룡동,20120801,
1111067000,서울특별시,종로구,창신제1동,1111017400,창신동,19880423,
1111068000,서울특별시,종로구,창신제2동,1111017400,창신동,19880423,
1111069000,서울특별시,종로구,창신제3동,1111017400,창신동,19880423,
1111070000,서울특별시,종로구,숭인제1동,1111017500,숭인동,19880423,
1111071000,서울특별시,종로구,숭인제2동,1111017500,숭인동,19880423,
1114052000,서울특별시,중구,소공동,1114011100,소공동,19880423,
1114054000,서울특별시,중구,회현동,1114011200,남창동,19880423,
1114055000,서울특별시,중구,명동,1114010100,무교동,19980914,
1114057000,서울특별시,중구,필동,1114013200,충무로4가,19980914,
1114058000,서울특별시,중구,장충동,1114013600,묵정동,19880423,
1114059000,서울특별시,중구,광희동,1114013200,충무로4가,19980914,
1114060500,서울특별시,중구,을지로동,1114015000,을지로4가,20050315,
1114061500,서울특별시,중구,신당동,1114016200,신당동,20130720,
1114062500,서울특별시,중구,다산동,1114016200,신당동,20130720,
1114063500,서울특별시,중구,약수동,1114016200,신당동,20130720,
1114064500,서울특별시,중구,청구동,1114016200,신당동,20130720,
1114065000,서울특별시,중구,신당제5동,1114016200,신당동,19880423,
1114066500,서울특별시,중구,동화동,1114016200,신당동,20130720,
1114067000,서울특별시,중구,황학동,1114016500,황학동,19880423,
1114068000,서울특별시,중구,중림동,1114017100,중림동,19880423,
1117051000,서울특별시,용산구,후암동,1117010100,후암동,19880423,
1117052000,서울특별시,용산구,용산2가동,1117010200,용산동2가,19880423,
1117053000,서울특별시,용산구,남영동,1117010400,갈월동,19880423,
1117055500,서울특별시,용산구,청파동,1117010800,서계동,20080630,
1117056000,서울특별시,용산구,원효로제1동,1117011200,원효로1가,19880423,
1117057000,서울특별시,용산구,원효로제2동,1117011400,신창동,19880423,
1117058000,서울특별시,용산구,효창동,1117011900,효창동,19880423,
1117059000,서울특별시,용산구,용문동,1117012000,도원동,19880423,
1117062500,서울특별시,용산구,한강로동,1117012400,한강로1가,20080630,
1117063000,서울특별시,용산구,이촌제1동,1117012900,이촌동,19880423,
1117064000,서울특별시,용산구,이촌제2동,1117012900,이촌동,19880423,
1117065000,서울특별시,용산구,이태원제1동,1117013000,이태원동,19880423,
1117066000,서울특별시,용산구,이태원제2동,1117013000,이태원동,19880423,
1117068500,서울특별시,용산구,한남동,1117013100,한남동,20080630,
1117069000,서울특별시,용산구,서빙고동,1117013200,동빙고동,19880423,
1117070000,서울특별시,용산구,보광동,1117013600,보광동,19880423,
1120052000,서울특별시,성동구,왕십리제2동,1120010200,하왕십리동,19880423,
1120053500,서울특별시,성동구,왕십리도선동,1120010100,상왕십리동,20080811,
1120054000,서울특별시,성동구,마장동,1120010500,마장동,19880423,
1120055000,서울특별시,성동구,사근동,1120010600,사근동,19880423,
1120056000,서울특별시,성동구,행당제1동,1120010700,행당동,19880423,
1120057000,서울특별시,성동구,행당제2동,1120010700,행당동,19880423,
1120058000,서울특별시,성동구,응봉동,1120010800,응봉동,19880423,
1120059000,서울특별시,성동구,금호1가동,1120010900,금호동1가,19880423,
1120061500,서울특별시,성동구,금호2.3가동,1120011000,금호동2가,20080811,
1120062000,서울특별시,성동구,금호4가동,1120011200,금호동4가,19880423,
1120064500,서울특별시,성동구,옥수동,1120011300,옥수동,20080811,
1120065000,서울특별시,성동구,성수1가제1동,1120011400,성수동1가,19880423,
1120066000,서울특별시,성동구,성수1가제2동,1120011400,성수동1가,19880423,
1120067000,서울특별시,성동구,성수2가제1동,1120011500,성수동2가,19880423,
1120069000,서울특별시,성동구,성수2가제3동,1120011500,성수동2가,19880423,
1120072000,서울특별시,성동구,송정동,1120011800,송정동,19880423,
1120079000,서울특별시,성동구,용답동,1120011800,송정동,19880423,
1121571000,서울특별시,광진구,화양동,1121510700,화양동,19950301,
1121573000,서울특별시,광진구,군자동,1121510900,군자동,19950301,
1121574000,서울특별시,광진구,중곡제1동,1121510100,중곡동,19950301,
1121575000,서울특별시,광진구,중곡제2동,1121510100,중곡동,19950301,
1121576000,서울특별시,광진구,중곡제3동,1121510100,중곡동,19950301,
1121577000,서울특별시,광진구,중곡제4동,1121510100,중곡동,19950301,
1121578000,서울특별시,광진구,능동,1121510200,능동,19950301,
1121581000,서울특별시,광진구,광장동,1121510400,광장동,19950301,
1121582000,서울특별시,광진구,자양제1동,1121510500,자양동,19950301,
1121583000,서울특별시,광진구,자양제2동,1121510500,자양동,19950301,
1121584000,서울특별시,광진구,자양제3동,1121510500,자양동,19950301,
1121584700,서울특별시,광진구,자양제4동,1121510500,자양동,20080101,
1121585000,서울특별시,광진구,구의제1동,1121510300,구의동,19950301,
1121586000,서울특별시,광진구,구의제2동,1121510300,구의동,19950301,
1121587000,서울특별시,광진구,구의제3동,1121510300,구의동,19950301,
1123053600,서울특별시,동대문구,용신동,1123010100,신설동,20090504,
1123054500,서울특별시,동대문구,제기동,1123010300,제기동,20090504,
1123056000,서울특별시,동대문구,전농제1동,1123010400,전농동,20090504,
1123057000,서울특별시,동대문구,전농제2동,1123010400,전농동,20090504,
1123060000,서울특별시,동대문구,답십리제1동,1123010500,답십리동,20090504,
1123061000,서울특별시,동대문구,답십리제2동,1123010500,답십리동,20090504,
1123065000,서울특별시,동대문구,장안제1동,1123010600,장안동,20090504,
1123066000,서울특별시,동대문구,장안제2동,1123010600,장안동,20090504,
1123070500,서울특별시,동대문구,청량리동,1123010700,청량리동,20080811,
1123071000,서울특별시,동대문구,회기동,1123010800,회기동,19880423,
1123072000,서울특별시,동대문구,휘경제1동,1123010900,휘경동,19880423,
1123073000,서울특별시,동대문구,휘경제2동,1123010900,휘경동,19880423,
1123074000,서울특별시,동대문구,이문제1동,1123011000,이문동,20090504,
1123075000,서울특별시,동대문구,이문제2동,1123011000,이문동,20090504,
1126052000,서울특별시,중랑구,면목제2동,1126010100,면목동,19880423,
1126054000,서울특별시,중랑구,면목제4동,1126010100,면목동,19880423,
1126055000,서울특별시,중랑구,면목제5동,1126010100,면목동,19880423,
