"STORE_SN","AREA_SD_CODE","AREA_DETAIL_CODE","PREF_SN","STORE_NM","STORE_ADDR","STORE_SCORE","LATITUDE","LONGITUDE"
"S100456_1649657876387","01","011307","00010000","고양이가있는액자가게","서울특별시 마포구 동교동 113-20","0","37.5608851","126.9259979"
"S100456_1655175659996","01","011413","01000000","랑데자뷰 유플렉스신촌점","서울특별시 서대문구 창천동 30-1 현대백화점 유플렉스","0","37.5567499","126.9365982"
"S100820_1643878659838","01","012302","01000000","담쟁이집","서울특별시 종로구 견지동 82","0","37.5738695","126.9836776"
"S101399_1656916498434","01","012136","01000000","무니","서울특별시 용산구 후암동 406-58","0","37.547194","126.9839422"
"S101658_1648438496636","01","010110","00100000","꿈의택배편","서울특별시 강남구 역삼동 828-36","0","37.4966536","127.0336796"
"S101807_1643878659847","01","012352","01000000","드엠","서울특별시 종로구 원남동 199 대경빌딩","0","37.5758342","126.9963104"
"S102606_1643878659853","01","012322","00100000","로벨리아듀 카페&와인","서울특별시 종로구 동숭동 130-18","0","37.5811394","127.0046284"
"S102988_1623823558493","01","011311","00100000","난지한강공원 MTB코스장","서울특별시 마포구 상암동 487-116 한강공원 난지안내센터","0","37.5629224452","126.8854490504"
"S103502_1655175660045","01","011504","01000000","가배도 강남점","서울특별시 서초구 서초동 1318-2 통영빌딩","0","37.4987858","127.0267117"
"S103726_1637805806794","01","011735","01000000","꾸미롱","서울특별시 성북구 안암동5가 104-121","0","37.5836729","127.0293277"
"S103978_1643878659874","01","012132","01000000","이니스프리 그린카페","서울특별시 중구 한강로2가 424","0","37.528723496843","126.96842067427"
"S104005_1636946773782","01","010407","01000000","79파운야드 마곡점","서울특별시 강서구 마곡동 797-7 퀸즈파크텐","0","37.5599153","126.8343608"
"S104039_1643878659877","01","012374","01000000","어라운드 시소","서울특별시 종로구 통의동 35-11","0","37.5780108","126.9726731"
"S104161_1643878659880","01","011610","01000000","파스트 팔레트","서울특별시 성동구 성수동2가 316-57","0","37.5432722","127.0534511"
"S104461_1637805807197","01","011109","00100000","알로카시아 인더테라스","서울특별시 동대문구 회기동 60-97","0","37.5916237","127.0503652"
"S105148_1648438496647","01","012442","00100000","아로마포레스트 동대문점","서울특별시 중구 을지로6가 18-21 굿모닝시티쇼핑몰","0","37.5668017","127.0073812"
"S105440_1648438496649","01","012369","00100000","아뜰리에나훔","서울특별시 종로구 창신동 138-2","0","37.5739034","127.0118655"
"S105463_1643878659888","01","012201","01000000","엔쓰커피","서울특별시 은평구 갈현동 454-28 효성빌딩","0","37.6180768","126.9182195"
"S105488_1623823558507","01","012025","00100000","여의도 둘레길(여의도 자전거도로)","서울특별시 영등포구 여의도동 8 한강사업본부 여의도안내센터","0","37.5263886632","126.933612357"
"S105537_1648438496652","01","011318","00100000","아현공방","서울특별시 마포구 연남동 373-6","0","37.5608296","126.9232948"
"S105558_1643878659889","01","011808","01000000","프레스커피","서울특별시 송파구 송파동 42-6","0","37.5095616","127.1094558"
"S105963_1623823558916","01","011309","00001000","한강시민공원 망원지구(망원한강공원)","서울특별시 마포구 망원동 205-4 한강공원망원지구사무소","0","37.5513990562","126.9006646546"
"S106257_1643878659900","01","011609","01000000","필살기CAFE","서울특별시 성동구 성수동1가 13-145","0","37.5482731","127.0485227"
"S106265_1643878659901","01","011503","01000000","오쎄","서울특별시 서초구 방배동 454-20 방배그리나힐","0","37.4794745","126.9834503"
"S106387_1643878659903","01","011810","01000000","산체스커피 본점","서울특별시 송파구 오금동 61-10 동성빌딩","0","37.5022103","127.1361103"
"S107227_1636946773799","01","010703","01000000","카페 단디","서울특별시 구로구 고척동 52-383","0","37.5006321","126.8643974"
"S107608_1636946773802","01","010407","01000000","HONEY DOUGH 2020","서울특별시 강서구 마곡동 723-2 이천이프라자","0","37.5589464","126.8378241"
"S110049_1623823558819","01","012304","00001000","북촌 8경","서울특별시 종로구 계동 105","0","37.5791612548","126.9864254967"
"S111202_1623823558689","01","012350","00010000","창덕궁 소극장","서울특별시 종로구 와룡동 109-1 UD빌딩","0","37.5763810971","126.9905918619"
"S111250_1649657876409","01","010607","00010000","어떻게든 되겠지www","서울특별시 광진구 화양동 15-7","0","37.5450136","127.0710386"
"S112143_1625640652734","01","012468","00010000","스페인책방","서울 중구 필동2가 18-15 기남빌딩 5층 603호","0","37.5605486","126.9950625"
"S113188_1648438496720","01","012004","00100000","코멧솝","서울특별시 영등포구 당산동3가 304","0","37.5244655","126.8973142"
"S113449_1625640652787","01","011205","00010000","지금의 세상","서울 동작구 사당동 1038-49 1층","0","37.4786536","126.9791861"
"S114084_1637805807040","01","010413","01000000","나따오비까 with 에그맛있다화곡점","서울특별시 강서구 화곡동 370-54","0","37.5351108","126.8379084"
"S114109_1649657876413","01","011318","00010000","후카후카스튜디오","서울특별시 마포구 연남동 387-39","0","37.5623906","126.9256371"
"S115198_1643878660003","01","011609","01000000","니드스윗","서울특별시 성동구 성수동1가 656-703","0","37.5490115","127.0456839"
"S116080_1648438497349","01","012326","00100000","에피소드","서울특별시 종로구 명륜4가 154-2","0","37.5820967","126.9997535"
"S116316_1648438496742","01","011616","00100000","로즈룸","서울특별시 성동구 행당동 1-17","0","37.5611255","127.0394201"
"S116474_1623823558474","01","011102","00100000","서울풍물시장 전통문화체험관","서울특별시 동대문구 신설동 109-5 서울풍물시장","0","37.5730932173","127.0254887761"
"S117153_1643878660037","01","012374","10000000","H라운지","서울특별시 종로구 통의동 35-21","0","37.5779155","126.9735061"
